Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
10 Comunitat Valenciana;Total;Total;2019;37.413
10 Comunitat Valenciana;Total;Total;2018;36.851
10 Comunitat Valenciana;Total;Total;2017;35.668
10 Comunitat Valenciana;Total;Total;2016;33.383
10 Comunitat Valenciana;Total;Total;2015;27.308
10 Comunitat Valenciana;Total;Total;2014;27.144
10 Comunitat Valenciana;Total;Total;2013;26.678
10 Comunitat Valenciana;Total;Española;2021;25.751
10 Comunitat Valenciana;Total;Española;2020;21.242
10 Comunitat Valenciana;Total;Española;2019;27.923
10 Comunitat Valenciana;Total;Española;2018;27.750
10 Comunitat Valenciana;Total;Española;2017;27.533
10 Comunitat Valenciana;Total;Española;2016;25.452
10 Comunitat Valenciana;Total;Española;2015;20.762
10 Comunitat Valenciana;Total;Española;2014;20.543
10 Comunitat Valenciana;Total;Española;2013;19.804
10 Comunitat Valenciana;Total;Extranjera;2021;9.176
10 Comunitat Valenciana;Total;Extranjera;2020;7.349
10 Comunitat Valenciana;Total;Extranjera;2019;9.490
10 Comunitat Valenciana;Total;Extranjera;2018;9.101
10 Comunitat Valenciana;Total;Extranjera;2017;8.135
10 Comunitat Valenciana;Total;Extranjera;2016;7.931
10 Comunitat Valenciana;Total;Extranjera;2015;6.546
10 Comunitat Valenciana;Total;Extranjera;2014;6.601
10 Comunitat Valenciana;Total;Extranjera;2013;6.874
10 Comunitat Valenciana;Hombres;Total;2021;27.893
10 Comunitat Valenciana;Hombres;Total;2020;22.882
10 Comunitat Valenciana;Hombres;Total;2019;29.363
10 Comunitat Valenciana;Hombres;Total;2018;28.973
10 Comunitat Valenciana;Hombres;Total;2017;28.339
10 Comunitat Valenciana;Hombres;Total;2016;26.710
10 Comunitat Valenciana;Hombres;Total;2015;22.913
10 Comunitat Valenciana;Hombres;Total;2014;23.305
10 Comunitat Valenciana;Hombres;Total;2013;23.146
10 Comunitat Valenciana;Hombres;Española;2021;20.276
10 Comunitat Valenciana;Hombres;Española;2020;16.770
10 Comunitat Valenciana;Hombres;Española;2019;21.684
10 Comunitat Valenciana;Hombres;Española;2018;21.596
10 Comunitat Valenciana;Hombres;Española;2017;21.689
10 Comunitat Valenciana;Hombres;Española;2016;20.178
10 Comunitat Valenciana;Hombres;Española;2015;17.246
10 Comunitat Valenciana;Hombres;Española;2014;17.467
10 Comunitat Valenciana;Hombres;Española;2013;17.057
10 Comunitat Valenciana;Hombres;Extranjera;2021;7.617
10 Comunitat Valenciana;Hombres;Extranjera;2020;6.112
10 Comunitat Valenciana;Hombres;Extranjera;2019;7.679
10 Comunitat Valenciana;Hombres;Extranjera;2018;7.377
10 Comunitat Valenciana;Hombres;Extranjera;2017;6.650
10 Comunitat Valenciana;Hombres;Extranjera;2016;6.532
10 Comunitat Valenciana;Hombres;Extranjera;2015;5.667
10 Comunitat Valenciana;Hombres;Extranjera;2014;5.838
10 Comunitat Valenciana;Hombres;Extranjera;2013;6.089
10 Comunitat Valenciana;Mujeres;Total;2021;7.034
10 Comunitat Valenciana;Mujeres;Total;2020;5.709
10 Comunitat Valenciana;Mujeres;Total;2019;8.050
10 Comunitat Valenciana;Mujeres;Total;2018;7.878
10 Comunitat Valenciana;Mujeres;Total;2017;7.329
10 Comunitat Valenciana;Mujeres;Total;2016;6.673
10 Comunitat Valenciana;Mujeres;Total;2015;4.395
10 Comunitat Valenciana;Mujeres;Total;2014;3.839
10 Comunitat Valenciana;Mujeres;Total;2013;3.532
10 Comunitat Valenciana;Mujeres;Española;2021;5.475
10 Comunitat Valenciana;Mujeres;Española;2020;4.472
10 Comunitat Valenciana;Mujeres;Española;2019;6.239
10 Comunitat Valenciana;Mujeres;Española;2018;6.154
10 Comunitat Valenciana;Mujeres;Española;2017;5.844
10 Comunitat Valenciana;Mujeres;Española;2016;5.274
10 Comunitat Valenciana;Mujeres;Española;2015;3.516
10 Comunitat Valenciana;Mujeres;Española;2014;3.076
10 Comunitat Valenciana;Mujeres;Española;2013;2.747
10 Comunitat Valenciana;Mujeres;Extranjera;2021;1.559
10 Comunitat Valenciana;Mujeres;Extranjera;2020;1.237
10 Comunitat Valenciana;Mujeres;Extranjera;2019;1.811
10 Comunitat Valenciana;Mujeres;Extranjera;2018;1.724
10 Comunitat Valenciana;Mujeres;Extranjera;2017;1.485
10 Comunitat Valenciana;Mujeres;Extranjera;2016;1.399
10 Comunitat Valenciana;Mujeres;Extranjera;2015;879
10 Comunitat Valenciana;Mujeres;Extranjera;2014;763
10 Comunitat Valenciana;Mujeres;Extranjera;2013;785
11 Extremadura;Total;Total;2021;5.775
11 Extremadura;Total;Total;2020;4.419
11 Extremadura;Total;Total;2019;5.073
11 Extremadura;Total;Total;2018;5.381
11 Extremadura;Total;Total;2017;5.502
11 Extremadura;Total;Total;2016;5.769
11 Extremadura;Total;Total;2015;5.076
11 Extremadura;Total;Total;2014;4.910
11 Extremadura;Total;Total;2013;4.806
11 Extremadura;Total;Española;2021;5.284
11 Extremadura;Total;Española;2020;4.004
11 Extremadura;Total;Española;2019;4.582
11 Extremadura;Total;Española;2018;4.885
11 Extremadura;Total;Española;2017;4.996
11 Extremadura;Total;Española;2016;5.209
11 Extremadura;Total;Española;2015;4.642
11 Extremadura;Total;Española;2014;4.460
11 Extremadura;Total;Española;2013;4.311
11 Extremadura;Total;Extranjera;2021;491
11 Extremadura;Total;Extranjera;2020;415
11 Extremadura;Total;Extranjera;2019;491
11 Extremadura;Total;Extranjera;2018;496
11 Extremadura;Total;Extranjera;2017;506
11 Extremadura;Total;Extranjera;2016;560
11 Extremadura;Total;Extranjera;2015;434
11 Extremadura;Total;Extranjera;2014;450
11 Extremadura;Total;Extranjera;2013;495
11 Extremadura;Hombres;Total;2021;4.702
11 Extremadura;Hombres;Total;2020;3.590
11 Extremadura;Hombres;Total;2019;4.095
11 Extremadura;Hombres;Total;2018;4.387
11 Extremadura;Hombres;Total;2017;4.456
11 Extremadura;Hombres;Total;2016;4.669
11 Extremadura;Hombres;Total;2015;4.384
11 Extremadura;Hombres;Total;2014;4.323
11 Extremadura;Hombres;Total;2013;4.322
11 Extremadura;Hombres;Española;2021;4.302
11 Extremadura;Hombres;Española;2020;3.266
11 Extremadura;Hombres;Española;2019;3.727
11 Extremadura;Hombres;Española;2018;4.002
11 Extremadura;Hombres;Española;2017;4.053
11 Extremadura;Hombres;Española;2016;4.240
11 Extremadura;Hombres;Española;2015;4.003
11 Extremadura;Hombres;Española;2014;3.928
11 Extremadura;Hombres;Española;2013;3.900
11 Extremadura;Hombres;Extranjera;2021;400
11 Extremadura;Hombres;Extranjera;2020;324
11 Extremadura;Hombres;Extranjera;2019;368
11 Extremadura;Hombres;Extranjera;2018;385
11 Extremadura;Hombres;Extranjera;2017;403
11 Extremadura;Hombres;Extranjera;2016;429
11 Extremadura;Hombres;Extranjera;2015;381
11 Extremadura;Hombres;Extranjera;2014;395
11 Extremadura;Hombres;Extranjera;2013;422
11 Extremadura;Mujeres;Total;2021;1.073
11 Extremadura;Mujeres;Total;2020;829
11 Extremadura;Mujeres;Total;2019;978
11 Extremadura;Mujeres;Total;2018;994
11 Extremadura;Mujeres;Total;2017;1.046
11 Extremadura;Mujeres;Total;2016;1.100
11 Extremadura;Mujeres;Total;2015;692
11 Extremadura;Mujeres;Total;2014;587
11 Extremadura;Mujeres;Total;2013;484
11 Extremadura;Mujeres;Española;2021;982
11 Extremadura;Mujeres;Española;2020;738
11 Extremadura;Mujeres;Española;2019;855
11 Extremadura;Mujeres;Española;2018;883
11 Extremadura;Mujeres;Española;2017;943
11 Extremadura;Mujeres;Española;2016;969
11 Extremadura;Mujeres;Española;2015;639
11 Extremadura;Mujeres;Española;2014;532
11 Extremadura;Mujeres;Española;2013;411
11 Extremadura;Mujeres;Extranjera;2021;91
11 Extremadura;Mujeres;Extranjera;2020;91
11 Extremadura;Mujeres;Extranjera;2019;123
11 Extremadura;Mujeres;Extranjera;2018;111
11 Extremadura;Mujeres;Extranjera;2017;103
11 Extremadura;Mujeres;Extranjera;2016;131
11 Extremadura;Mujeres;Extranjera;2015;53
11 Extremadura;Mujeres;Extranjera;2014;55
11 Extremadura;Mujeres;Extranjera;2013;73
12 Galicia;Total;Total;2021;13.549
12 Galicia;Total;Total;2020;11.037
12 Galicia;Total;Total;2019;13.748
12 Galicia;Total;Total;2018;12.295
12 Galicia;Total;Total;2017;14.121
12 Galicia;Total;Total;2016;13.581
12 Galicia;Total;Total;2015;12.150
12 Galicia;Total;Total;2014;11.946
12 Galicia;Total;Total;2013;11.883
12 Galicia;Total;Española;2021;12.140
12 Galicia;Total;Española;2020;9.931
12 Galicia;Total;Española;2019;12.493
12 Galicia;Total;Española;2018;11.198
12 Galicia;Total;Española;2017;12.787
12 Galicia;Total;Española;2016;12.316
12 Galicia;Total;Española;2015;11.041
12 Galicia;Total;Española;2014;10.832
12 Galicia;Total;Española;2013;10.761
12 Galicia;Total;Extranjera;2021;1.409
12 Galicia;Total;Extranjera;2020;1.106
12 Galicia;Total;Extranjera;2019;1.255
12 Galicia;Total;Extranjera;2018;1.097
12 Galicia;Total;Extranjera;2017;1.334
12 Galicia;Total;Extranjera;2016;1.265
12 Galicia;Total;Extranjera;2015;1.109
12 Galicia;Total;Extranjera;2014;1.114
12 Galicia;Total;Extranjera;2013;1.122
12 Galicia;Hombres;Total;2021;11.009
12 Galicia;Hombres;Total;2020;9.013
12 Galicia;Hombres;Total;2019;11.100
12 Galicia;Hombres;Total;2018;10.127
12 Galicia;Hombres;Total;2017;11.610
12 Galicia;Hombres;Total;2016;11.337
12 Galicia;Hombres;Total;2015;10.622
12 Galicia;Hombres;Total;2014;10.595
12 Galicia;Hombres;Total;2013;10.695
12 Galicia;Hombres;Española;2021;9.928
12 Galicia;Hombres;Española;2020;8.136
12 Galicia;Hombres;Española;2019;10.136
12 Galicia;Hombres;Española;2018;9.235
12 Galicia;Hombres;Española;2017;10.545
12 Galicia;Hombres;Española;2016;10.338
12 Galicia;Hombres;Española;2015;9.696
12 Galicia;Hombres;Española;2014;9.660
12 Galicia;Hombres;Española;2013;9.747
12 Galicia;Hombres;Extranjera;2021;1.081
12 Galicia;Hombres;Extranjera;2020;877
12 Galicia;Hombres;Extranjera;2019;964
12 Galicia;Hombres;Extranjera;2018;892
12 Galicia;Hombres;Extranjera;2017;1.065
12 Galicia;Hombres;Extranjera;2016;999
12 Galicia;Hombres;Extranjera;2015;926
12 Galicia;Hombres;Extranjera;2014;935
12 Galicia;Hombres;Extranjera;2013;948
12 Galicia;Mujeres;Total;2021;2.540
12 Galicia;Mujeres;Total;2020;2.024
12 Galicia;Mujeres;Total;2019;2.648
12 Galicia;Mujeres;Total;2018;2.168
12 Galicia;Mujeres;Total;2017;2.511
12 Galicia;Mujeres;Total;2016;2.244
12 Galicia;Mujeres;Total;2015;1.528
12 Galicia;Mujeres;Total;2014;1.351
12 Galicia;Mujeres;Total;2013;1.188
12 Galicia;Mujeres;Española;2021;2.212
12 Galicia;Mujeres;Española;2020;1.795
12 Galicia;Mujeres;Española;2019;2.357
12 Galicia;Mujeres;Española;2018;1.963
12 Galicia;Mujeres;Española;2017;2.242
12 Galicia;Mujeres;Española;2016;1.978
12 Galicia;Mujeres;Española;2015;1.345
12 Galicia;Mujeres;Española;2014;1.172
12 Galicia;Mujeres;Española;2013;1.014
12 Galicia;Mujeres;Extranjera;2021;328
12 Galicia;Mujeres;Extranjera;2020;229
12 Galicia;Mujeres;Extranjera;2019;291
12 Galicia;Mujeres;Extranjera;2018;205
12 Galicia;Mujeres;Extranjera;2017;269
12 Galicia;Mujeres;Extranjera;2016;266
12 Galicia;Mujeres;Extranjera;2015;183
12 Galicia;Mujeres;Extranjera;2014;179
12 Galicia;Mujeres;Extranjera;2013;174
13 Madrid, Comunidad de;Total;Total;2021;35.119
13 Madrid, Comunidad de;Total;Total;2020;28.398
13 Madrid, Comunidad de;Total;Total;2019;38.169
13 Madrid, Comunidad de;Total;Total;2018;39.667
13 Madrid, Comunidad de;Total;Total;2017;39.408
13 Madrid, Comunidad de;Total;Total;2016;35.182
13 Madrid, Comunidad de;Total;Total;2015;26.973
13 Madrid, Comunidad de;Total;Total;2014;26.960
13 Madrid, Comunidad de;Total;Total;2013;27.374
13 Madrid, Comunidad de;Total;Española;2021;24.162
13 Madrid, Comunidad de;Total;Española;2020;19.365
13 Madrid, Comunidad de;Total;Española;2019;26.433
13 Madrid, Comunidad de;Total;Española;2018;27.764
13 Madrid, Comunidad de;Total;Española;2017;27.816
13 Madrid, Comunidad de;Total;Española;2016;24.680
13 Madrid, Comunidad de;Total;Española;2015;18.563
13 Madrid, Comunidad de;Total;Española;2014;18.334
13 Madrid, Comunidad de;Total;Española;2013;18.027
13 Madrid, Comunidad de;Total;Extranjera;2021;10.957
13 Madrid, Comunidad de;Total;Extranjera;2020;9.033
13 Madrid, Comunidad de;Total;Extranjera;2019;11.736
13 Madrid, Comunidad de;Total;Extranjera;2018;11.903
13 Madrid, Comunidad de;Total;Extranjera;2017;11.592
13 Madrid, Comunidad de;Total;Extranjera;2016;10.502
13 Madrid, Comunidad de;Total;Extranjera;2015;8.410
13 Madrid, Comunidad de;Total;Extranjera;2014;8.626
13 Madrid, Comunidad de;Total;Extranjera;2013;9.347
13 Madrid, Comunidad de;Hombres;Total;2021;26.764
13 Madrid, Comunidad de;Hombres;Total;2020;21.500
13 Madrid, Comunidad de;Hombres;Total;2019;28.341
13 Madrid, Comunidad de;Hombres;Total;2018;29.338
13 Madrid, Comunidad de;Hombres;Total;2017;28.715
13 Madrid, Comunidad de;Hombres;Total;2016;26.754
13 Madrid, Comunidad de;Hombres;Total;2015;22.813
13 Madrid, Comunidad de;Hombres;Total;2014;23.439
13 Madrid, Comunidad de;Hombres;Total;2013;23.991
13 Madrid, Comunidad de;Hombres;Española;2021;18.087
13 Madrid, Comunidad de;Hombres;Española;2020;14.424
13 Madrid, Comunidad de;Hombres;Española;2019;19.358
13 Madrid, Comunidad de;Hombres;Española;2018;20.281
13 Madrid, Comunidad de;Hombres;Española;2017;19.979
13 Madrid, Comunidad de;Hombres;Española;2016;18.406
13 Madrid, Comunidad de;Hombres;Española;2015;15.509
13 Madrid, Comunidad de;Hombres;Española;2014;15.757
13 Madrid, Comunidad de;Hombres;Española;2013;15.605
13 Madrid, Comunidad de;Hombres;Extranjera;2021;8.677
13 Madrid, Comunidad de;Hombres;Extranjera;2020;7.076
13 Madrid, Comunidad de;Hombres;Extranjera;2019;8.983
13 Madrid, Comunidad de;Hombres;Extranjera;2018;9.057
13 Madrid, Comunidad de;Hombres;Extranjera;2017;8.736
13 Madrid, Comunidad de;Hombres;Extranjera;2016;8.348
13 Madrid, Comunidad de;Hombres;Extranjera;2015;7.304
13 Madrid, Comunidad de;Hombres;Extranjera;2014;7.682
13 Madrid, Comunidad de;Hombres;Extranjera;2013;8.386
13 Madrid, Comunidad de;Mujeres;Total;2021;8.355
13 Madrid, Comunidad de;Mujeres;Total;2020;6.898
13 Madrid, Comunidad de;Mujeres;Total;2019;9.828
13 Madrid, Comunidad de;Mujeres;Total;2018;10.329
13 Madrid, Comunidad de;Mujeres;Total;2017;10.693
13 Madrid, Comunidad de;Mujeres;Total;2016;8.428
13 Madrid, Comunidad de;Mujeres;Total;2015;4.160
13 Madrid, Comunidad de;Mujeres;Total;2014;3.521
13 Madrid, Comunidad de;Mujeres;Total;2013;3.383
13 Madrid, Comunidad de;Mujeres;Española;2021;6.075
13 Madrid, Comunidad de;Mujeres;Española;2020;4.941
13 Madrid, Comunidad de;Mujeres;Española;2019;7.075
13 Madrid, Comunidad de;Mujeres;Española;2018;7.483
13 Madrid, Comunidad de;Mujeres;Española;2017;7.837
13 Madrid, Comunidad de;Mujeres;Española;2016;6.274
13 Madrid, Comunidad de;Mujeres;Española;2015;3.054
13 Madrid, Comunidad de;Mujeres;Española;2014;2.577
13 Madrid, Comunidad de;Mujeres;Española;2013;2.422
13 Madrid, Comunidad de;Mujeres;Extranjera;2021;2.280
13 Madrid, Comunidad de;Mujeres;Extranjera;2020;1.957
13 Madrid, Comunidad de;Mujeres;Extranjera;2019;2.753
13 Madrid, Comunidad de;Mujeres;Extranjera;2018;2.846
13 Madrid, Comunidad de;Mujeres;Extranjera;2017;2.856
13 Madrid, Comunidad de;Mujeres;Extranjera;2016;2.154
13 Madrid, Comunidad de;Mujeres;Extranjera;2015;1.106
13 Madrid, Comunidad de;Mujeres;Extranjera;2014;944
13 Madrid, Comunidad de;Mujeres;Extranjera;2013;961
14 Murcia, Región de;Total;Total;2021;10.157
14 Murcia, Región de;Total;Total;2020;7.661
14 Murcia, Región de;Total;Total;2019;9.648
14 Murcia, Región de;Total;Total;2018;9.579
14 Murcia, Región de;Total;Total;2017;9.594
14 Murcia, Región de;Total;Total;2016;9.812
14 Murcia, Región de;Total;Total;2015;8.057
14 Murcia, Región de;Total;Total;2014;7.827
14 Murcia, Región de;Total;Total;2013;8.101
14 Murcia, Región de;Total;Española;2021;7.364
14 Murcia, Región de;Total;Española;2020;5.544
14 Murcia, Región de;Total;Española;2019;7.090
14 Murcia, Región de;Total;Española;2018;7.161
14 Murcia, Región de;Total;Española;2017;7.243
14 Murcia, Región de;Total;Española;2016;7.388
14 Murcia, Región de;Total;Española;2015;5.935
14 Murcia, Región de;Total;Española;2014;5.597
14 Murcia, Región de;Total;Española;2013;5.710
14 Murcia, Región de;Total;Extranjera;2021;2.793
14 Murcia, Región de;Total;Extranjera;2020;2.117
14 Murcia, Región de;Total;Extranjera;2019;2.558
14 Murcia, Región de;Total;Extranjera;2018;2.418
14 Murcia, Región de;Total;Extranjera;2017;2.351
14 Murcia, Región de;Total;Extranjera;2016;2.424
14 Murcia, Región de;Total;Extranjera;2015;2.122
14 Murcia, Región de;Total;Extranjera;2014;2.230
14 Murcia, Región de;Total;Extranjera;2013;2.391
14 Murcia, Región de;Hombres;Total;2021;8.562
14 Murcia, Región de;Hombres;Total;2020;6.492
14 Murcia, Región de;Hombres;Total;2019;8.027
14 Murcia, Región de;Hombres;Total;2018;8.054
14 Murcia, Región de;Hombres;Total;2017;7.989
14 Murcia, Región de;Hombres;Total;2016;8.162
14 Murcia, Región de;Hombres;Total;2015;7.067
14 Murcia, Región de;Hombres;Total;2014;6.974
14 Murcia, Región de;Hombres;Total;2013;7.278
14 Murcia, Región de;Hombres;Española;2021;6.091
14 Murcia, Región de;Hombres;Española;2020;4.604
14 Murcia, Región de;Hombres;Española;2019;5.794
14 Murcia, Región de;Hombres;Española;2018;5.930
14 Murcia, Región de;Hombres;Española;2017;5.942
14 Murcia, Región de;Hombres;Española;2016;6.100
14 Murcia, Región de;Hombres;Española;2015;5.156
14 Murcia, Región de;Hombres;Española;2014;4.948
14 Murcia, Región de;Hombres;Española;2013;5.127
14 Murcia, Región de;Hombres;Extranjera;2021;2.471
14 Murcia, Región de;Hombres;Extranjera;2020;1.888
14 Murcia, Región de;Hombres;Extranjera;2019;2.233
14 Murcia, Región de;Hombres;Extranjera;2018;2.124
14 Murcia, Región de;Hombres;Extranjera;2017;2.047
14 Murcia, Región de;Hombres;Extranjera;2016;2.062
14 Murcia, Región de;Hombres;Extranjera;2015;1.911
14 Murcia, Región de;Hombres;Extranjera;2014;2.026
14 Murcia, Región de;Hombres;Extranjera;2013;2.151
14 Murcia, Región de;Mujeres;Total;2021;1.595
14 Murcia, Región de;Mujeres;Total;2020;1.169
14 Murcia, Región de;Mujeres;Total;2019;1.621
14 Murcia, Región de;Mujeres;Total;2018;1.525
14 Murcia, Región de;Mujeres;Total;2017;1.605
14 Murcia, Región de;Mujeres;Total;2016;1.650
14 Murcia, Región de;Mujeres;Total;2015;990
14 Murcia, Región de;Mujeres;Total;2014;853
14 Murcia, Región de;Mujeres;Total;2013;823
