Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
14 Murcia, Región de;Mujeres;Española;2021;1.273
14 Murcia, Región de;Mujeres;Española;2020;940
14 Murcia, Región de;Mujeres;Española;2019;1.296
14 Murcia, Región de;Mujeres;Española;2018;1.231
14 Murcia, Región de;Mujeres;Española;2017;1.301
14 Murcia, Región de;Mujeres;Española;2016;1.288
14 Murcia, Región de;Mujeres;Española;2015;779
14 Murcia, Región de;Mujeres;Española;2014;649
14 Murcia, Región de;Mujeres;Española;2013;583
14 Murcia, Región de;Mujeres;Extranjera;2021;322
14 Murcia, Región de;Mujeres;Extranjera;2020;229
14 Murcia, Región de;Mujeres;Extranjera;2019;325
14 Murcia, Región de;Mujeres;Extranjera;2018;294
14 Murcia, Región de;Mujeres;Extranjera;2017;304
14 Murcia, Región de;Mujeres;Extranjera;2016;362
14 Murcia, Región de;Mujeres;Extranjera;2015;211
14 Murcia, Región de;Mujeres;Extranjera;2014;204
14 Murcia, Región de;Mujeres;Extranjera;2013;240
15 Navarra, Comunidad Foral de;Total;Total;2021;3.375
15 Navarra, Comunidad Foral de;Total;Total;2020;2.689
15 Navarra, Comunidad Foral de;Total;Total;2019;3.583
15 Navarra, Comunidad Foral de;Total;Total;2018;3.442
15 Navarra, Comunidad Foral de;Total;Total;2017;3.396
15 Navarra, Comunidad Foral de;Total;Total;2016;3.145
15 Navarra, Comunidad Foral de;Total;Total;2015;2.772
15 Navarra, Comunidad Foral de;Total;Total;2014;2.754
15 Navarra, Comunidad Foral de;Total;Total;2013;2.840
15 Navarra, Comunidad Foral de;Total;Española;2021;2.464
15 Navarra, Comunidad Foral de;Total;Española;2020;1.949
15 Navarra, Comunidad Foral de;Total;Española;2019;2.542
15 Navarra, Comunidad Foral de;Total;Española;2018;2.543
15 Navarra, Comunidad Foral de;Total;Española;2017;2.563
15 Navarra, Comunidad Foral de;Total;Española;2016;2.293
15 Navarra, Comunidad Foral de;Total;Española;2015;1.990
15 Navarra, Comunidad Foral de;Total;Española;2014;1.966
15 Navarra, Comunidad Foral de;Total;Española;2013;2.008
15 Navarra, Comunidad Foral de;Total;Extranjera;2021;911
15 Navarra, Comunidad Foral de;Total;Extranjera;2020;740
15 Navarra, Comunidad Foral de;Total;Extranjera;2019;1.041
15 Navarra, Comunidad Foral de;Total;Extranjera;2018;899
15 Navarra, Comunidad Foral de;Total;Extranjera;2017;833
15 Navarra, Comunidad Foral de;Total;Extranjera;2016;852
15 Navarra, Comunidad Foral de;Total;Extranjera;2015;782
15 Navarra, Comunidad Foral de;Total;Extranjera;2014;788
15 Navarra, Comunidad Foral de;Total;Extranjera;2013;832
15 Navarra, Comunidad Foral de;Hombres;Total;2021;2.832
15 Navarra, Comunidad Foral de;Hombres;Total;2020;2.243
15 Navarra, Comunidad Foral de;Hombres;Total;2019;2.943
15 Navarra, Comunidad Foral de;Hombres;Total;2018;2.802
15 Navarra, Comunidad Foral de;Hombres;Total;2017;2.757
15 Navarra, Comunidad Foral de;Hombres;Total;2016;2.560
15 Navarra, Comunidad Foral de;Hombres;Total;2015;2.403
15 Navarra, Comunidad Foral de;Hombres;Total;2014;2.373
15 Navarra, Comunidad Foral de;Hombres;Total;2013;2.560
15 Navarra, Comunidad Foral de;Hombres;Española;2021;2.037
15 Navarra, Comunidad Foral de;Hombres;Española;2020;1.603
15 Navarra, Comunidad Foral de;Hombres;Española;2019;2.063
15 Navarra, Comunidad Foral de;Hombres;Española;2018;2.028
15 Navarra, Comunidad Foral de;Hombres;Española;2017;2.042
15 Navarra, Comunidad Foral de;Hombres;Española;2016;1.841
15 Navarra, Comunidad Foral de;Hombres;Española;2015;1.710
15 Navarra, Comunidad Foral de;Hombres;Española;2014;1.695
15 Navarra, Comunidad Foral de;Hombres;Española;2013;1.797
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2021;795
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2020;640
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2019;880
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2018;774
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2017;715
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2016;719
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2015;693
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2014;678
15 Navarra, Comunidad Foral de;Hombres;Extranjera;2013;763
15 Navarra, Comunidad Foral de;Mujeres;Total;2021;543
15 Navarra, Comunidad Foral de;Mujeres;Total;2020;446
15 Navarra, Comunidad Foral de;Mujeres;Total;2019;640
15 Navarra, Comunidad Foral de;Mujeres;Total;2018;640
15 Navarra, Comunidad Foral de;Mujeres;Total;2017;639
15 Navarra, Comunidad Foral de;Mujeres;Total;2016;585
15 Navarra, Comunidad Foral de;Mujeres;Total;2015;369
15 Navarra, Comunidad Foral de;Mujeres;Total;2014;381
15 Navarra, Comunidad Foral de;Mujeres;Total;2013;280
15 Navarra, Comunidad Foral de;Mujeres;Española;2021;427
15 Navarra, Comunidad Foral de;Mujeres;Española;2020;346
15 Navarra, Comunidad Foral de;Mujeres;Española;2019;479
15 Navarra, Comunidad Foral de;Mujeres;Española;2018;515
15 Navarra, Comunidad Foral de;Mujeres;Española;2017;521
15 Navarra, Comunidad Foral de;Mujeres;Española;2016;452
15 Navarra, Comunidad Foral de;Mujeres;Española;2015;280
15 Navarra, Comunidad Foral de;Mujeres;Española;2014;271
15 Navarra, Comunidad Foral de;Mujeres;Española;2013;211
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2021;116
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2020;100
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2019;161
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2018;125
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2017;118
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2016;133
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2015;89
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2014;110
15 Navarra, Comunidad Foral de;Mujeres;Extranjera;2013;69
16 País Vasco;Total;Total;2021;12.729
16 País Vasco;Total;Total;2020;9.451
16 País Vasco;Total;Total;2019;12.116
16 País Vasco;Total;Total;2018;11.946
16 País Vasco;Total;Total;2017;11.572
16 País Vasco;Total;Total;2016;11.208
16 País Vasco;Total;Total;2015;7.943
16 País Vasco;Total;Total;2014;8.041
16 País Vasco;Total;Total;2013;8.511
16 País Vasco;Total;Española;2021;8.828
16 País Vasco;Total;Española;2020;6.614
16 País Vasco;Total;Española;2019;8.596
16 País Vasco;Total;Española;2018;8.716
16 País Vasco;Total;Española;2017;8.532
16 País Vasco;Total;Española;2016;8.255
16 País Vasco;Total;Española;2015;5.775
16 País Vasco;Total;Española;2014;5.779
16 País Vasco;Total;Española;2013;5.988
16 País Vasco;Total;Extranjera;2021;3.901
16 País Vasco;Total;Extranjera;2020;2.837
16 País Vasco;Total;Extranjera;2019;3.520
16 País Vasco;Total;Extranjera;2018;3.230
16 País Vasco;Total;Extranjera;2017;3.040
16 País Vasco;Total;Extranjera;2016;2.953
16 País Vasco;Total;Extranjera;2015;2.168
16 País Vasco;Total;Extranjera;2014;2.262
16 País Vasco;Total;Extranjera;2013;2.523
16 País Vasco;Hombres;Total;2021;10.207
16 País Vasco;Hombres;Total;2020;7.602
16 País Vasco;Hombres;Total;2019;9.666
16 País Vasco;Hombres;Total;2018;9.419
16 País Vasco;Hombres;Total;2017;9.039
16 País Vasco;Hombres;Total;2016;8.828
16 País Vasco;Hombres;Total;2015;6.679
16 País Vasco;Hombres;Total;2014;7.015
16 País Vasco;Hombres;Total;2013;7.565
16 País Vasco;Hombres;Española;2021;6.870
16 País Vasco;Hombres;Española;2020;5.158
16 País Vasco;Hombres;Española;2019;6.709
16 País Vasco;Hombres;Española;2018;6.754
16 País Vasco;Hombres;Española;2017;6.565
16 País Vasco;Hombres;Española;2016;6.421
16 País Vasco;Hombres;Española;2015;4.811
16 País Vasco;Hombres;Española;2014;4.985
16 País Vasco;Hombres;Española;2013;5.300
16 País Vasco;Hombres;Extranjera;2021;3.337
16 País Vasco;Hombres;Extranjera;2020;2.444
16 País Vasco;Hombres;Extranjera;2019;2.957
16 País Vasco;Hombres;Extranjera;2018;2.665
16 País Vasco;Hombres;Extranjera;2017;2.474
16 País Vasco;Hombres;Extranjera;2016;2.407
16 País Vasco;Hombres;Extranjera;2015;1.868
16 País Vasco;Hombres;Extranjera;2014;2.030
16 País Vasco;Hombres;Extranjera;2013;2.265
16 País Vasco;Mujeres;Total;2021;2.522
16 País Vasco;Mujeres;Total;2020;1.849
16 País Vasco;Mujeres;Total;2019;2.450
16 País Vasco;Mujeres;Total;2018;2.527
16 País Vasco;Mujeres;Total;2017;2.533
16 País Vasco;Mujeres;Total;2016;2.380
16 País Vasco;Mujeres;Total;2015;1.264
16 País Vasco;Mujeres;Total;2014;1.026
16 País Vasco;Mujeres;Total;2013;946
16 País Vasco;Mujeres;Española;2021;1.958
16 País Vasco;Mujeres;Española;2020;1.456
16 País Vasco;Mujeres;Española;2019;1.887
16 País Vasco;Mujeres;Española;2018;1.962
16 País Vasco;Mujeres;Española;2017;1.967
16 País Vasco;Mujeres;Española;2016;1.834
16 País Vasco;Mujeres;Española;2015;964
16 País Vasco;Mujeres;Española;2014;794
16 País Vasco;Mujeres;Española;2013;688
16 País Vasco;Mujeres;Extranjera;2021;564
16 País Vasco;Mujeres;Extranjera;2020;393
16 País Vasco;Mujeres;Extranjera;2019;563
16 País Vasco;Mujeres;Extranjera;2018;565
16 País Vasco;Mujeres;Extranjera;2017;566
16 País Vasco;Mujeres;Extranjera;2016;546
16 País Vasco;Mujeres;Extranjera;2015;300
16 País Vasco;Mujeres;Extranjera;2014;232
16 País Vasco;Mujeres;Extranjera;2013;258
17 Rioja, La;Total;Total;2021;2.076
17 Rioja, La;Total;Total;2020;1.446
17 Rioja, La;Total;Total;2019;1.846
17 Rioja, La;Total;Total;2018;1.964
17 Rioja, La;Total;Total;2017;1.858
17 Rioja, La;Total;Total;2016;1.942
17 Rioja, La;Total;Total;2015;1.532
17 Rioja, La;Total;Total;2014;1.508
17 Rioja, La;Total;Total;2013;1.338
17 Rioja, La;Total;Española;2021;1.535
17 Rioja, La;Total;Española;2020;1.064
17 Rioja, La;Total;Española;2019;1.359
17 Rioja, La;Total;Española;2018;1.430
17 Rioja, La;Total;Española;2017;1.370
17 Rioja, La;Total;Española;2016;1.402
17 Rioja, La;Total;Española;2015;1.102
17 Rioja, La;Total;Española;2014;1.092
17 Rioja, La;Total;Española;2013;910
17 Rioja, La;Total;Extranjera;2021;541
17 Rioja, La;Total;Extranjera;2020;382
17 Rioja, La;Total;Extranjera;2019;487
17 Rioja, La;Total;Extranjera;2018;534
17 Rioja, La;Total;Extranjera;2017;488
17 Rioja, La;Total;Extranjera;2016;540
17 Rioja, La;Total;Extranjera;2015;430
17 Rioja, La;Total;Extranjera;2014;416
17 Rioja, La;Total;Extranjera;2013;428
17 Rioja, La;Hombres;Total;2021;1.693
17 Rioja, La;Hombres;Total;2020;1.179
17 Rioja, La;Hombres;Total;2019;1.485
17 Rioja, La;Hombres;Total;2018;1.576
17 Rioja, La;Hombres;Total;2017;1.447
17 Rioja, La;Hombres;Total;2016;1.545
17 Rioja, La;Hombres;Total;2015;1.282
17 Rioja, La;Hombres;Total;2014;1.319
17 Rioja, La;Hombres;Total;2013;1.187
17 Rioja, La;Hombres;Española;2021;1.234
17 Rioja, La;Hombres;Española;2020;859
17 Rioja, La;Hombres;Española;2019;1.093
17 Rioja, La;Hombres;Española;2018;1.142
17 Rioja, La;Hombres;Española;2017;1.058
17 Rioja, La;Hombres;Española;2016;1.124
17 Rioja, La;Hombres;Española;2015;916
17 Rioja, La;Hombres;Española;2014;955
17 Rioja, La;Hombres;Española;2013;811
17 Rioja, La;Hombres;Extranjera;2021;459
17 Rioja, La;Hombres;Extranjera;2020;320
17 Rioja, La;Hombres;Extranjera;2019;392
17 Rioja, La;Hombres;Extranjera;2018;434
17 Rioja, La;Hombres;Extranjera;2017;389
17 Rioja, La;Hombres;Extranjera;2016;421
17 Rioja, La;Hombres;Extranjera;2015;366
17 Rioja, La;Hombres;Extranjera;2014;364
17 Rioja, La;Hombres;Extranjera;2013;376
17 Rioja, La;Mujeres;Total;2021;383
17 Rioja, La;Mujeres;Total;2020;267
17 Rioja, La;Mujeres;Total;2019;361
17 Rioja, La;Mujeres;Total;2018;388
17 Rioja, La;Mujeres;Total;2017;411
17 Rioja, La;Mujeres;Total;2016;397
17 Rioja, La;Mujeres;Total;2015;250
17 Rioja, La;Mujeres;Total;2014;189
17 Rioja, La;Mujeres;Total;2013;151
17 Rioja, La;Mujeres;Española;2021;301
17 Rioja, La;Mujeres;Española;2020;205
17 Rioja, La;Mujeres;Española;2019;266
17 Rioja, La;Mujeres;Española;2018;288
17 Rioja, La;Mujeres;Española;2017;312
17 Rioja, La;Mujeres;Española;2016;278
17 Rioja, La;Mujeres;Española;2015;186
17 Rioja, La;Mujeres;Española;2014;137
17 Rioja, La;Mujeres;Española;2013;99
17 Rioja, La;Mujeres;Extranjera;2021;82
17 Rioja, La;Mujeres;Extranjera;2020;62
17 Rioja, La;Mujeres;Extranjera;2019;95
17 Rioja, La;Mujeres;Extranjera;2018;100
17 Rioja, La;Mujeres;Extranjera;2017;99
17 Rioja, La;Mujeres;Extranjera;2016;119
17 Rioja, La;Mujeres;Extranjera;2015;64
17 Rioja, La;Mujeres;Extranjera;2014;52
17 Rioja, La;Mujeres;Extranjera;2013;52
18 Ceuta;Total;Total;2021;896
18 Ceuta;Total;Total;2020;1.025
18 Ceuta;Total;Total;2019;1.620
18 Ceuta;Total;Total;2018;1.708
18 Ceuta;Total;Total;2017;1.636
18 Ceuta;Total;Total;2016;1.478
18 Ceuta;Total;Total;2015;1.561
18 Ceuta;Total;Total;2014;1.705
18 Ceuta;Total;Total;2013;1.803
18 Ceuta;Total;Española;2021;602
18 Ceuta;Total;Española;2020;614
18 Ceuta;Total;Española;2019;683
18 Ceuta;Total;Española;2018;684
18 Ceuta;Total;Española;2017;694
18 Ceuta;Total;Española;2016;687
18 Ceuta;Total;Española;2015;665
18 Ceuta;Total;Española;2014;701
18 Ceuta;Total;Española;2013;724
18 Ceuta;Total;Extranjera;2021;294
18 Ceuta;Total;Extranjera;2020;411
18 Ceuta;Total;Extranjera;2019;937
18 Ceuta;Total;Extranjera;2018;1.024
18 Ceuta;Total;Extranjera;2017;942
18 Ceuta;Total;Extranjera;2016;791
18 Ceuta;Total;Extranjera;2015;896
18 Ceuta;Total;Extranjera;2014;1.004
18 Ceuta;Total;Extranjera;2013;1.079
18 Ceuta;Hombres;Total;2021;741
18 Ceuta;Hombres;Total;2020;832
18 Ceuta;Hombres;Total;2019;1.297
18 Ceuta;Hombres;Total;2018;1.381
18 Ceuta;Hombres;Total;2017;1.347
18 Ceuta;Hombres;Total;2016;1.215
18 Ceuta;Hombres;Total;2015;1.326
18 Ceuta;Hombres;Total;2014;1.484
18 Ceuta;Hombres;Total;2013;1.582
18 Ceuta;Hombres;Española;2021;492
18 Ceuta;Hombres;Española;2020;491
18 Ceuta;Hombres;Española;2019;552
18 Ceuta;Hombres;Española;2018;549
18 Ceuta;Hombres;Española;2017;563
18 Ceuta;Hombres;Española;2016;570
18 Ceuta;Hombres;Española;2015;580
18 Ceuta;Hombres;Española;2014;609
18 Ceuta;Hombres;Española;2013;613
18 Ceuta;Hombres;Extranjera;2021;249
18 Ceuta;Hombres;Extranjera;2020;341
18 Ceuta;Hombres;Extranjera;2019;745
18 Ceuta;Hombres;Extranjera;2018;832
18 Ceuta;Hombres;Extranjera;2017;784
18 Ceuta;Hombres;Extranjera;2016;645
18 Ceuta;Hombres;Extranjera;2015;746
18 Ceuta;Hombres;Extranjera;2014;875
18 Ceuta;Hombres;Extranjera;2013;969
18 Ceuta;Mujeres;Total;2021;155
18 Ceuta;Mujeres;Total;2020;193
18 Ceuta;Mujeres;Total;2019;323
18 Ceuta;Mujeres;Total;2018;327
18 Ceuta;Mujeres;Total;2017;289
18 Ceuta;Mujeres;Total;2016;263
18 Ceuta;Mujeres;Total;2015;235
18 Ceuta;Mujeres;Total;2014;221
18 Ceuta;Mujeres;Total;2013;221
18 Ceuta;Mujeres;Española;2021;110
18 Ceuta;Mujeres;Española;2020;123
18 Ceuta;Mujeres;Española;2019;131
18 Ceuta;Mujeres;Española;2018;135
18 Ceuta;Mujeres;Española;2017;131
18 Ceuta;Mujeres;Española;2016;117
18 Ceuta;Mujeres;Española;2015;85
18 Ceuta;Mujeres;Española;2014;92
18 Ceuta;Mujeres;Española;2013;111
18 Ceuta;Mujeres;Extranjera;2021;45
18 Ceuta;Mujeres;Extranjera;2020;70
18 Ceuta;Mujeres;Extranjera;2019;192
18 Ceuta;Mujeres;Extranjera;2018;192
18 Ceuta;Mujeres;Extranjera;2017;158
18 Ceuta;Mujeres;Extranjera;2016;146
18 Ceuta;Mujeres;Extranjera;2015;150
18 Ceuta;Mujeres;Extranjera;2014;129
18 Ceuta;Mujeres;Extranjera;2013;110
19 Melilla;Total;Total;2021;740
19 Melilla;Total;Total;2020;890
19 Melilla;Total;Total;2019;1.483
19 Melilla;Total;Total;2018;1.477
19 Melilla;Total;Total;2017;1.450
19 Melilla;Total;Total;2016;1.175
19 Melilla;Total;Total;2015;1.280
19 Melilla;Total;Total;2014;1.229
19 Melilla;Total;Total;2013;1.248
19 Melilla;Total;Española;2021;417
19 Melilla;Total;Española;2020;387
19 Melilla;Total;Española;2019;492
19 Melilla;Total;Española;2018;470
19 Melilla;Total;Española;2017;437
19 Melilla;Total;Española;2016;383
19 Melilla;Total;Española;2015;408
19 Melilla;Total;Española;2014;408
19 Melilla;Total;Española;2013;382
19 Melilla;Total;Extranjera;2021;323
19 Melilla;Total;Extranjera;2020;503
19 Melilla;Total;Extranjera;2019;991
19 Melilla;Total;Extranjera;2018;1.007
19 Melilla;Total;Extranjera;2017;1.013
19 Melilla;Total;Extranjera;2016;792
19 Melilla;Total;Extranjera;2015;872
19 Melilla;Total;Extranjera;2014;821
19 Melilla;Total;Extranjera;2013;866
19 Melilla;Hombres;Total;2021;634
19 Melilla;Hombres;Total;2020;765
19 Melilla;Hombres;Total;2019;1.263
19 Melilla;Hombres;Total;2018;1.298
19 Melilla;Hombres;Total;2017;1.274
19 Melilla;Hombres;Total;2016;1.052
19 Melilla;Hombres;Total;2015;1.152
19 Melilla;Hombres;Total;2014;1.108
19 Melilla;Hombres;Total;2013;1.140
19 Melilla;Hombres;Española;2021;345
19 Melilla;Hombres;Española;2020;334
19 Melilla;Hombres;Española;2019;410
19 Melilla;Hombres;Española;2018;411
19 Melilla;Hombres;Española;2017;384
19 Melilla;Hombres;Española;2016;347
19 Melilla;Hombres;Española;2015;354
19 Melilla;Hombres;Española;2014;358
19 Melilla;Hombres;Española;2013;349
19 Melilla;Hombres;Extranjera;2021;289
19 Melilla;Hombres;Extranjera;2020;431
19 Melilla;Hombres;Extranjera;2019;853
19 Melilla;Hombres;Extranjera;2018;887
19 Melilla;Hombres;Extranjera;2017;890
19 Melilla;Hombres;Extranjera;2016;705
19 Melilla;Hombres;Extranjera;2015;798
19 Melilla;Hombres;Extranjera;2014;750
19 Melilla;Hombres;Extranjera;2013;791
19 Melilla;Mujeres;Total;2021;106
19 Melilla;Mujeres;Total;2020;125
19 Melilla;Mujeres;Total;2019;220
19 Melilla;Mujeres;Total;2018;179
19 Melilla;Mujeres;Total;2017;176
19 Melilla;Mujeres;Total;2016;123
19 Melilla;Mujeres;Total;2015;128
19 Melilla;Mujeres;Total;2014;121
19 Melilla;Mujeres;Total;2013;108
19 Melilla;Mujeres;Española;2021;72
19 Melilla;Mujeres;Española;2020;53
19 Melilla;Mujeres;Española;2019;82
19 Melilla;Mujeres;Española;2018;59
19 Melilla;Mujeres;Española;2017;53
19 Melilla;Mujeres;Española;2016;36
19 Melilla;Mujeres;Española;2015;54
19 Melilla;Mujeres;Española;2014;50
19 Melilla;Mujeres;Española;2013;33
19 Melilla;Mujeres;Extranjera;2021;34
19 Melilla;Mujeres;Extranjera;2020;72
19 Melilla;Mujeres;Extranjera;2019;138
19 Melilla;Mujeres;Extranjera;2018;120
19 Melilla;Mujeres;Extranjera;2017;123
19 Melilla;Mujeres;Extranjera;2016;87
19 Melilla;Mujeres;Extranjera;2015;74
19 Melilla;Mujeres;Extranjera;2014;71
19 Melilla;Mujeres;Extranjera;2013;75
