Lugar de condena;Nacionalidad;Periodo;Total
10 Comunitat Valenciana;Total;2016;44.695
10 Comunitat Valenciana;Total;2015;35.555
10 Comunitat Valenciana;Total;2014;34.821
10 Comunitat Valenciana;Total;2013;33.638
10 Comunitat Valenciana;Española;2021;37.948
10 Comunitat Valenciana;Española;2020;30.541
10 Comunitat Valenciana;Española;2019;40.373
10 Comunitat Valenciana;Española;2018;39.410
10 Comunitat Valenciana;Española;2017;38.201
10 Comunitat Valenciana;Española;2016;34.312
10 Comunitat Valenciana;Española;2015;27.039
10 Comunitat Valenciana;Española;2014;26.445
10 Comunitat Valenciana;Española;2013;25.053
10 Comunitat Valenciana;País de la UE28 sin España;2021;""
10 Comunitat Valenciana;País de la UE28 sin España;2020;""
10 Comunitat Valenciana;País de la UE28 sin España;2019;5.377
10 Comunitat Valenciana;País de la UE28 sin España;2018;5.324
10 Comunitat Valenciana;País de la UE28 sin España;2017;4.638
10 Comunitat Valenciana;País de la UE28 sin España;2016;4.512
10 Comunitat Valenciana;País de la UE28 sin España;2015;3.499
10 Comunitat Valenciana;País de la UE28 sin España;2014;3.511
10 Comunitat Valenciana;País de la UE28 sin España;2013;3.401
10 Comunitat Valenciana;País de la UE27_2020 sin España;2021;4.324
10 Comunitat Valenciana;País de la UE27_2020 sin España;2020;3.378
10 Comunitat Valenciana;País de la UE27_2020 sin España;2019;""
10 Comunitat Valenciana;País de la UE27_2020 sin España;2018;""
10 Comunitat Valenciana;País de la UE27_2020 sin España;2017;""
10 Comunitat Valenciana;País de la UE27_2020 sin España;2016;""
10 Comunitat Valenciana;País de la UE27_2020 sin España;2015;""
10 Comunitat Valenciana;País de la UE27_2020 sin España;2014;""
10 Comunitat Valenciana;País de la UE27_2020 sin España;2013;""
10 Comunitat Valenciana;País de Europa menos UE28;2021;""
10 Comunitat Valenciana;País de Europa menos UE28;2020;""
10 Comunitat Valenciana;País de Europa menos UE28;2019;1.115
10 Comunitat Valenciana;País de Europa menos UE28;2018;1.053
10 Comunitat Valenciana;País de Europa menos UE28;2017;806
10 Comunitat Valenciana;País de Europa menos UE28;2016;687
10 Comunitat Valenciana;País de Europa menos UE28;2015;546
10 Comunitat Valenciana;País de Europa menos UE28;2014;471
10 Comunitat Valenciana;País de Europa menos UE28;2013;439
10 Comunitat Valenciana;País de Europa menos UE27_2020;2021;1.650
10 Comunitat Valenciana;País de Europa menos UE27_2020;2020;1.258
10 Comunitat Valenciana;País de Europa menos UE27_2020;2019;""
10 Comunitat Valenciana;País de Europa menos UE27_2020;2018;""
10 Comunitat Valenciana;País de Europa menos UE27_2020;2017;""
10 Comunitat Valenciana;País de Europa menos UE27_2020;2016;""
10 Comunitat Valenciana;País de Europa menos UE27_2020;2015;""
10 Comunitat Valenciana;País de Europa menos UE27_2020;2014;""
10 Comunitat Valenciana;País de Europa menos UE27_2020;2013;""
10 Comunitat Valenciana;De Africa;2021;3.136
10 Comunitat Valenciana;De Africa;2020;2.401
10 Comunitat Valenciana;De Africa;2019;2.705
10 Comunitat Valenciana;De Africa;2018;2.661
10 Comunitat Valenciana;De Africa;2017;2.352
10 Comunitat Valenciana;De Africa;2016;2.198
10 Comunitat Valenciana;De Africa;2015;1.798
10 Comunitat Valenciana;De Africa;2014;1.628
10 Comunitat Valenciana;De Africa;2013;1.737
10 Comunitat Valenciana;De América;2021;3.400
10 Comunitat Valenciana;De América;2020;2.687
10 Comunitat Valenciana;De América;2019;3.288
10 Comunitat Valenciana;De América;2018;3.072
10 Comunitat Valenciana;De América;2017;2.738
10 Comunitat Valenciana;De América;2016;2.617
10 Comunitat Valenciana;De América;2015;2.381
10 Comunitat Valenciana;De América;2014;2.458
10 Comunitat Valenciana;De América;2013;2.727
10 Comunitat Valenciana;De Asia;2021;455
10 Comunitat Valenciana;De Asia;2020;351
10 Comunitat Valenciana;De Asia;2019;522
10 Comunitat Valenciana;De Asia;2018;479
10 Comunitat Valenciana;De Asia;2017;460
10 Comunitat Valenciana;De Asia;2016;364
10 Comunitat Valenciana;De Asia;2015;290
10 Comunitat Valenciana;De Asia;2014;307
10 Comunitat Valenciana;De Asia;2013;253
10 Comunitat Valenciana;De Oceanía;2021;4
10 Comunitat Valenciana;De Oceanía;2020;5
10 Comunitat Valenciana;De Oceanía;2019;3
10 Comunitat Valenciana;De Oceanía;2018;1
10 Comunitat Valenciana;De Oceanía;2017;0
10 Comunitat Valenciana;De Oceanía;2016;5
10 Comunitat Valenciana;De Oceanía;2015;2
10 Comunitat Valenciana;De Oceanía;2014;1
10 Comunitat Valenciana;De Oceanía;2013;28
11 Extremadura;Total;2021;8.327
11 Extremadura;Total;2020;6.115
11 Extremadura;Total;2019;7.014
11 Extremadura;Total;2018;7.261
11 Extremadura;Total;2017;7.590
11 Extremadura;Total;2016;7.659
11 Extremadura;Total;2015;7.000
11 Extremadura;Total;2014;6.392
11 Extremadura;Total;2013;6.213
11 Extremadura;Española;2021;7.608
11 Extremadura;Española;2020;5.543
11 Extremadura;Española;2019;6.383
11 Extremadura;Española;2018;6.619
11 Extremadura;Española;2017;6.919
11 Extremadura;Española;2016;6.924
11 Extremadura;Española;2015;6.398
11 Extremadura;Española;2014;5.810
11 Extremadura;Española;2013;5.597
11 Extremadura;País de la UE28 sin España;2021;""
11 Extremadura;País de la UE28 sin España;2020;""
11 Extremadura;País de la UE28 sin España;2019;377
11 Extremadura;País de la UE28 sin España;2018;434
11 Extremadura;País de la UE28 sin España;2017;410
11 Extremadura;País de la UE28 sin España;2016;431
11 Extremadura;País de la UE28 sin España;2015;363
11 Extremadura;País de la UE28 sin España;2014;354
11 Extremadura;País de la UE28 sin España;2013;355
11 Extremadura;País de la UE27_2020 sin España;2021;373
11 Extremadura;País de la UE27_2020 sin España;2020;285
11 Extremadura;País de la UE27_2020 sin España;2019;""
11 Extremadura;País de la UE27_2020 sin España;2018;""
11 Extremadura;País de la UE27_2020 sin España;2017;""
11 Extremadura;País de la UE27_2020 sin España;2016;""
11 Extremadura;País de la UE27_2020 sin España;2015;""
11 Extremadura;País de la UE27_2020 sin España;2014;""
11 Extremadura;País de la UE27_2020 sin España;2013;""
11 Extremadura;País de Europa menos UE28;2021;""
11 Extremadura;País de Europa menos UE28;2020;""
11 Extremadura;País de Europa menos UE28;2019;5
11 Extremadura;País de Europa menos UE28;2018;3
11 Extremadura;País de Europa menos UE28;2017;4
11 Extremadura;País de Europa menos UE28;2016;17
11 Extremadura;País de Europa menos UE28;2015;5
11 Extremadura;País de Europa menos UE28;2014;6
11 Extremadura;País de Europa menos UE28;2013;11
11 Extremadura;País de Europa menos UE27_2020;2021;13
11 Extremadura;País de Europa menos UE27_2020;2020;21
11 Extremadura;País de Europa menos UE27_2020;2019;""
11 Extremadura;País de Europa menos UE27_2020;2018;""
11 Extremadura;País de Europa menos UE27_2020;2017;""
11 Extremadura;País de Europa menos UE27_2020;2016;""
11 Extremadura;País de Europa menos UE27_2020;2015;""
11 Extremadura;País de Europa menos UE27_2020;2014;""
11 Extremadura;País de Europa menos UE27_2020;2013;""
11 Extremadura;De Africa;2021;152
11 Extremadura;De Africa;2020;142
11 Extremadura;De Africa;2019;108
11 Extremadura;De Africa;2018;91
11 Extremadura;De Africa;2017;121
11 Extremadura;De Africa;2016;137
11 Extremadura;De Africa;2015;135
11 Extremadura;De Africa;2014;106
11 Extremadura;De Africa;2013;127
11 Extremadura;De América;2021;161
11 Extremadura;De América;2020;100
11 Extremadura;De América;2019;133
11 Extremadura;De América;2018;96
11 Extremadura;De América;2017;122
11 Extremadura;De América;2016;141
11 Extremadura;De América;2015;89
11 Extremadura;De América;2014;112
11 Extremadura;De América;2013;112
11 Extremadura;De Asia;2021;20
11 Extremadura;De Asia;2020;24
11 Extremadura;De Asia;2019;8
11 Extremadura;De Asia;2018;18
11 Extremadura;De Asia;2017;14
11 Extremadura;De Asia;2016;9
11 Extremadura;De Asia;2015;10
11 Extremadura;De Asia;2014;4
11 Extremadura;De Asia;2013;11
11 Extremadura;De Oceanía;2021;0
11 Extremadura;De Oceanía;2020;0
11 Extremadura;De Oceanía;2019;0
11 Extremadura;De Oceanía;2018;0
11 Extremadura;De Oceanía;2017;0
11 Extremadura;De Oceanía;2016;0
11 Extremadura;De Oceanía;2015;0
11 Extremadura;De Oceanía;2014;0
11 Extremadura;De Oceanía;2013;0
12 Galicia;Total;2021;20.500
12 Galicia;Total;2020;15.575
12 Galicia;Total;2019;19.919
12 Galicia;Total;2018;17.038
12 Galicia;Total;2017;19.947
12 Galicia;Total;2016;18.469
12 Galicia;Total;2015;16.079
12 Galicia;Total;2014;15.549
12 Galicia;Total;2013;15.386
12 Galicia;Española;2021;18.444
12 Galicia;Española;2020;14.054
12 Galicia;Española;2019;18.174
12 Galicia;Española;2018;15.498
12 Galicia;Española;2017;18.015
12 Galicia;Española;2016;16.754
12 Galicia;Española;2015;14.603
12 Galicia;Española;2014;14.132
12 Galicia;Española;2013;13.963
12 Galicia;País de la UE28 sin España;2021;""
12 Galicia;País de la UE28 sin España;2020;""
12 Galicia;País de la UE28 sin España;2019;655
12 Galicia;País de la UE28 sin España;2018;629
12 Galicia;País de la UE28 sin España;2017;768
12 Galicia;País de la UE28 sin España;2016;678
12 Galicia;País de la UE28 sin España;2015;619
12 Galicia;País de la UE28 sin España;2014;604
12 Galicia;País de la UE28 sin España;2013;629
12 Galicia;País de la UE27_2020 sin España;2021;693
12 Galicia;País de la UE27_2020 sin España;2020;505
12 Galicia;País de la UE27_2020 sin España;2019;""
12 Galicia;País de la UE27_2020 sin España;2018;""
12 Galicia;País de la UE27_2020 sin España;2017;""
12 Galicia;País de la UE27_2020 sin España;2016;""
12 Galicia;País de la UE27_2020 sin España;2015;""
12 Galicia;País de la UE27_2020 sin España;2014;""
12 Galicia;País de la UE27_2020 sin España;2013;""
12 Galicia;País de Europa menos UE28;2021;""
12 Galicia;País de Europa menos UE28;2020;""
12 Galicia;País de Europa menos UE28;2019;79
12 Galicia;País de Europa menos UE28;2018;38
12 Galicia;País de Europa menos UE28;2017;73
12 Galicia;País de Europa menos UE28;2016;68
12 Galicia;País de Europa menos UE28;2015;50
12 Galicia;País de Europa menos UE28;2014;22
12 Galicia;País de Europa menos UE28;2013;32
12 Galicia;País de Europa menos UE27_2020;2021;66
12 Galicia;País de Europa menos UE27_2020;2020;58
12 Galicia;País de Europa menos UE27_2020;2019;""
12 Galicia;País de Europa menos UE27_2020;2018;""
12 Galicia;País de Europa menos UE27_2020;2017;""
12 Galicia;País de Europa menos UE27_2020;2016;""
12 Galicia;País de Europa menos UE27_2020;2015;""
12 Galicia;País de Europa menos UE27_2020;2014;""
12 Galicia;País de Europa menos UE27_2020;2013;""
12 Galicia;De Africa;2021;351
12 Galicia;De Africa;2020;283
12 Galicia;De Africa;2019;241
12 Galicia;De Africa;2018;276
12 Galicia;De Africa;2017;338
12 Galicia;De Africa;2016;291
12 Galicia;De Africa;2015;226
12 Galicia;De Africa;2014;180
12 Galicia;De Africa;2013;189
12 Galicia;De América;2021;915
12 Galicia;De América;2020;641
12 Galicia;De América;2019;732
12 Galicia;De América;2018;565
12 Galicia;De América;2017;724
12 Galicia;De América;2016;661
12 Galicia;De América;2015;564
12 Galicia;De América;2014;596
12 Galicia;De América;2013;557
12 Galicia;De Asia;2021;31
12 Galicia;De Asia;2020;34
12 Galicia;De Asia;2019;38
12 Galicia;De Asia;2018;31
12 Galicia;De Asia;2017;28
12 Galicia;De Asia;2016;17
12 Galicia;De Asia;2015;17
12 Galicia;De Asia;2014;15
12 Galicia;De Asia;2013;14
12 Galicia;De Oceanía;2021;0
12 Galicia;De Oceanía;2020;0
12 Galicia;De Oceanía;2019;0
12 Galicia;De Oceanía;2018;1
12 Galicia;De Oceanía;2017;1
12 Galicia;De Oceanía;2016;0
12 Galicia;De Oceanía;2015;0
12 Galicia;De Oceanía;2014;0
12 Galicia;De Oceanía;2013;2
13 Madrid, Comunidad de;Total;2021;49.725
13 Madrid, Comunidad de;Total;2020;38.856
13 Madrid, Comunidad de;Total;2019;54.264
13 Madrid, Comunidad de;Total;2018;56.063
13 Madrid, Comunidad de;Total;2017;52.778
13 Madrid, Comunidad de;Total;2016;46.487
13 Madrid, Comunidad de;Total;2015;34.746
13 Madrid, Comunidad de;Total;2014;34.146
13 Madrid, Comunidad de;Total;2013;34.123
13 Madrid, Comunidad de;Española;2021;34.234
13 Madrid, Comunidad de;Española;2020;26.504
13 Madrid, Comunidad de;Española;2019;37.815
13 Madrid, Comunidad de;Española;2018;39.567
13 Madrid, Comunidad de;Española;2017;37.386
13 Madrid, Comunidad de;Española;2016;32.873
13 Madrid, Comunidad de;Española;2015;23.911
13 Madrid, Comunidad de;Española;2014;23.261
13 Madrid, Comunidad de;Española;2013;22.566
13 Madrid, Comunidad de;País de la UE28 sin España;2021;""
13 Madrid, Comunidad de;País de la UE28 sin España;2020;""
13 Madrid, Comunidad de;País de la UE28 sin España;2019;4.583
13 Madrid, Comunidad de;País de la UE28 sin España;2018;5.042
13 Madrid, Comunidad de;País de la UE28 sin España;2017;4.619
13 Madrid, Comunidad de;País de la UE28 sin España;2016;4.176
13 Madrid, Comunidad de;País de la UE28 sin España;2015;3.006
13 Madrid, Comunidad de;País de la UE28 sin España;2014;2.840
13 Madrid, Comunidad de;País de la UE28 sin España;2013;2.993
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2021;3.546
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2020;3.032
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2019;""
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2018;""
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2017;""
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2016;""
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2015;""
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2014;""
13 Madrid, Comunidad de;País de la UE27_2020 sin España;2013;""
13 Madrid, Comunidad de;País de Europa menos UE28;2021;""
13 Madrid, Comunidad de;País de Europa menos UE28;2020;""
13 Madrid, Comunidad de;País de Europa menos UE28;2019;778
13 Madrid, Comunidad de;País de Europa menos UE28;2018;718
13 Madrid, Comunidad de;País de Europa menos UE28;2017;698
13 Madrid, Comunidad de;País de Europa menos UE28;2016;464
13 Madrid, Comunidad de;País de Europa menos UE28;2015;352
13 Madrid, Comunidad de;País de Europa menos UE28;2014;286
13 Madrid, Comunidad de;País de Europa menos UE28;2013;239
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2021;698
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2020;601
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2019;""
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2018;""
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2017;""
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2016;""
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2015;""
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2014;""
13 Madrid, Comunidad de;País de Europa menos UE27_2020;2013;""
13 Madrid, Comunidad de;De Africa;2021;2.996
13 Madrid, Comunidad de;De Africa;2020;2.393
13 Madrid, Comunidad de;De Africa;2019;3.256
13 Madrid, Comunidad de;De Africa;2018;3.190
13 Madrid, Comunidad de;De Africa;2017;3.008
13 Madrid, Comunidad de;De Africa;2016;2.488
13 Madrid, Comunidad de;De Africa;2015;1.955
13 Madrid, Comunidad de;De Africa;2014;1.952
13 Madrid, Comunidad de;De Africa;2013;1.784
13 Madrid, Comunidad de;De América;2021;7.691
13 Madrid, Comunidad de;De América;2020;5.965
13 Madrid, Comunidad de;De América;2019;7.213
13 Madrid, Comunidad de;De América;2018;6.947
13 Madrid, Comunidad de;De América;2017;6.507
13 Madrid, Comunidad de;De América;2016;6.069
13 Madrid, Comunidad de;De América;2015;5.142
13 Madrid, Comunidad de;De América;2014;5.422
13 Madrid, Comunidad de;De América;2013;6.159
13 Madrid, Comunidad de;De Asia;2021;558
13 Madrid, Comunidad de;De Asia;2020;358
13 Madrid, Comunidad de;De Asia;2019;615
13 Madrid, Comunidad de;De Asia;2018;594
13 Madrid, Comunidad de;De Asia;2017;557
13 Madrid, Comunidad de;De Asia;2016;414
13 Madrid, Comunidad de;De Asia;2015;375
13 Madrid, Comunidad de;De Asia;2014;382
13 Madrid, Comunidad de;De Asia;2013;357
13 Madrid, Comunidad de;De Oceanía;2021;2
13 Madrid, Comunidad de;De Oceanía;2020;3
13 Madrid, Comunidad de;De Oceanía;2019;4
13 Madrid, Comunidad de;De Oceanía;2018;5
13 Madrid, Comunidad de;De Oceanía;2017;3
13 Madrid, Comunidad de;De Oceanía;2016;3
13 Madrid, Comunidad de;De Oceanía;2015;5
13 Madrid, Comunidad de;De Oceanía;2014;3
13 Madrid, Comunidad de;De Oceanía;2013;25
14 Murcia, Región de;Total;2021;14.147
14 Murcia, Región de;Total;2020;10.411
14 Murcia, Región de;Total;2019;13.275
14 Murcia, Región de;Total;2018;13.101
14 Murcia, Región de;Total;2017;12.761
14 Murcia, Región de;Total;2016;12.812
14 Murcia, Región de;Total;2015;10.238
14 Murcia, Región de;Total;2014;9.757
14 Murcia, Región de;Total;2013;10.010
14 Murcia, Región de;Española;2021;10.289
14 Murcia, Región de;Española;2020;7.558
14 Murcia, Región de;Española;2019;9.845
14 Murcia, Región de;Española;2018;9.717
14 Murcia, Región de;Española;2017;9.655
14 Murcia, Región de;Española;2016;9.749
14 Murcia, Región de;Española;2015;7.539
14 Murcia, Región de;Española;2014;7.003
14 Murcia, Región de;Española;2013;7.100
14 Murcia, Región de;País de la UE28 sin España;2021;""
14 Murcia, Región de;País de la UE28 sin España;2020;""
14 Murcia, Región de;País de la UE28 sin España;2019;525
14 Murcia, Región de;País de la UE28 sin España;2018;521
14 Murcia, Región de;País de la UE28 sin España;2017;506
14 Murcia, Región de;País de la UE28 sin España;2016;477
14 Murcia, Región de;País de la UE28 sin España;2015;443
14 Murcia, Región de;País de la UE28 sin España;2014;428
14 Murcia, Región de;País de la UE28 sin España;2013;457
14 Murcia, Región de;País de la UE27_2020 sin España;2021;431
14 Murcia, Región de;País de la UE27_2020 sin España;2020;305
14 Murcia, Región de;País de la UE27_2020 sin España;2019;""
14 Murcia, Región de;País de la UE27_2020 sin España;2018;""
14 Murcia, Región de;País de la UE27_2020 sin España;2017;""
14 Murcia, Región de;País de la UE27_2020 sin España;2016;""
14 Murcia, Región de;País de la UE27_2020 sin España;2015;""
14 Murcia, Región de;País de la UE27_2020 sin España;2014;""
14 Murcia, Región de;País de la UE27_2020 sin España;2013;""
14 Murcia, Región de;País de Europa menos UE28;2021;""
14 Murcia, Región de;País de Europa menos UE28;2020;""
14 Murcia, Región de;País de Europa menos UE28;2019;138
14 Murcia, Región de;País de Europa menos UE28;2018;102
14 Murcia, Región de;País de Europa menos UE28;2017;103
14 Murcia, Región de;País de Europa menos UE28;2016;109
14 Murcia, Región de;País de Europa menos UE28;2015;83
14 Murcia, Región de;País de Europa menos UE28;2014;81
14 Murcia, Región de;País de Europa menos UE28;2013;82
14 Murcia, Región de;País de Europa menos UE27_2020;2021;186
14 Murcia, Región de;País de Europa menos UE27_2020;2020;123
14 Murcia, Región de;País de Europa menos UE27_2020;2019;""
14 Murcia, Región de;País de Europa menos UE27_2020;2018;""
14 Murcia, Región de;País de Europa menos UE27_2020;2017;""
14 Murcia, Región de;País de Europa menos UE27_2020;2016;""
14 Murcia, Región de;País de Europa menos UE27_2020;2015;""
14 Murcia, Región de;País de Europa menos UE27_2020;2014;""
14 Murcia, Región de;País de Europa menos UE27_2020;2013;""
14 Murcia, Región de;De Africa;2021;1.580
14 Murcia, Región de;De Africa;2020;1.199
14 Murcia, Región de;De Africa;2019;1.312
14 Murcia, Región de;De Africa;2018;1.294
14 Murcia, Región de;De Africa;2017;1.129
14 Murcia, Región de;De Africa;2016;1.097
14 Murcia, Región de;De Africa;2015;837
14 Murcia, Región de;De Africa;2014;809
14 Murcia, Región de;De Africa;2013;840
14 Murcia, Región de;De América;2021;1.618
14 Murcia, Región de;De América;2020;1.191
14 Murcia, Región de;De América;2019;1.376
14 Murcia, Región de;De América;2018;1.424
14 Murcia, Región de;De América;2017;1.326
14 Murcia, Región de;De América;2016;1.337
